序号,一级分类,二级分类,素材名,图片数,介绍
34,建筑类,首里城,琉球赤瓦,1,"　　琉球赤瓦是琉球传统建筑中使用的红色陶瓦，是琉球建筑最具标志性的特征之一。琉球赤瓦以当地的黏土为原料，经成型、干燥、烧制而成，因烧制过程中铁元素氧化而呈现出独特的朱红色，色泽温暖而富有质感。
　　其使用历史悠久，在琉球王国时期，赤瓦是王室、贵族与寺院建筑的专用 roofing material，普通百姓的住宅只能使用茅草或黑瓦，赤瓦的使用有着严格的等级限制。琉球赤瓦的形制多样，包括本瓦、丸瓦、熨斗瓦、鬼瓦等多种类型，不同类型的瓦配合使用，形成优美的屋顶曲线。琉球赤瓦的烧制工艺与中国、日本的陶瓦工艺既有联系又有区别，形成了独特的琉球风格。
　　在首里城、识名园、寺院等琉球传统建筑中，赤瓦屋顶与白色石垣、朱漆木构形成鲜明的色彩对比，构成了琉球建筑独特的视觉美感。琉球赤瓦是研究琉球建筑技术、陶瓷工艺与社会等级制度的重要实物资料，也是琉球文化最具辨识度的视觉符号之一。"
35,建筑类,首里城,龙樋,3,"　　龙樋是首里城内的著名泉水景观，位于欢会门与瑞泉门之间，是首里城最重要的水源地与历史文化景观。龙樋以琉球石灰岩砌筑，泉水从雕刻成龙首形状的石嘴中流出，注入下方的石砌水池，因「龙首吐水」的造型而得名。
　　龙樋的泉水清澈甘甜，是琉球王宫的主要饮用水源，历代国王与王室成员均饮用此水。中国历代册封使在琉球期间，对龙樋的泉水极为赞赏，纷纷以汉诗吟咏并刻石留念，在龙樋周边留下了著名的「册封七碑」。龙樋的设计融合了中国园林理水艺术与琉球本土的石造工艺，龙首雕刻生动有力，泉水四季不断，是首里城内最具诗意的景观。
　　龙樋在冲绳战役中受损，后经修复恢复原貌。龙樋不仅是一处泉水景观，更是中琉文化交流的重要见证，册封使们留下的汉诗与石碑，记录了中琉之间长达五百年的宗藩关系与文化交流，具有极高的历史与文化价值，是首里城最重要的历史文化遗存之一。"
36,建筑类,首里城,漏刻门,1,"　　漏刻门是首里城的重要城门之一，位于首里城的南部区域，因门内设有漏刻（古代水钟）而得名。漏刻是中国古代发明的计时仪器，利用水的恒定流量来计量时间，后传入琉球，成为琉球王国宫廷的重要计时工具。
　　首里城内的漏刻门附近设有宫廷的计时机构，负责管理漏刻、报告时辰，是琉球王国宫廷时间制度的重要组成部分。漏刻门以琉球石灰岩砌筑的石垣为基座，上建木造门楼，屋顶铺以琉球赤瓦，建筑风格与首里城其他城门保持一致。漏刻门在琉球王国的宫廷生活中发挥着重要作用，宫廷的仪式、朝会、祭祀等活动均需依据漏刻报告的时辰来安排，漏刻门是宫廷时间秩序的空间象征。
　　漏刻门在冲绳战役中被毁，后随首里城的整体复原工程得以重建。漏刻门是研究琉球宫廷时间制度、科技传播与城门建筑的重要实物资料，反映了中国古代科技文明对琉球的深远影响，也是首里城城门体系中独具特色的一座，其名称与功能的特殊性，使其成为研究琉球宫廷制度与文化交流的重要切入点。"
37,建筑类,首里城,美福门,1,"　　美福门是首里城的重要城门之一，位于首里城的西南部，是首里城多重城门体系的组成部分。首里城作为琉球王国的王宫与政治中心，其城郭布局严谨，由外郭、内郭与核心宫殿区组成，各区域之间以城门与城墙分隔，形成了层次分明、功能完善的空间结构。
　　美福门位于首里城的西南侧，是连接王宫西南部区域与外部的重要通道，其名称「美福」寓意「美好福运」，体现了琉球王国对王室幸福、国家安泰的美好祈愿。美福门以琉球石灰岩砌筑的石垣为基座，上建木造门楼，屋顶铺以琉球赤瓦，建筑风格庄重典雅，与首里城整体建筑风格保持一致。美福门在冲绳战役中被毁，后随首里城的整体复原工程得以重建。
　　首里城的城门体系是琉球城郭建筑与宫廷礼仪的重要组成部分，每座城门不仅具有军事防御功能，更具有重要的礼仪与象征意义，是琉球王国政治权力与空间秩序的物质体现。美福门作为其中之一，是研究琉球王宫建筑布局、城郭制度与政治文化的重要实物资料，反映了中国都城规划制度与建筑文化对琉球的深远影响。"
38,建筑类,首里城,日影台,1,"　　日影台是首里城内的古代天文观测设施，位于首里城的南部区域，是琉球王国宫廷天文学与时间制度的重要实物遗存。日影台是一种利用日影测量时辰与节气的天文仪器，类似于中国古代的圭表，通过测量太阳投射在标尺上的影子长度与方向，来确定正午时刻、二十四节气以及回归年的长度。
　　琉球王国的天文学深受中国影响，宫廷设有专门的天文机构与官员，负责观测天象、制定历法、报告时辰，日影台是这些天文活动的重要设施。日影台以琉球石灰岩砌筑，平台上立有石制的表（标尺），地面刻有刻度线，用于测量日影的长度与方位。日影台在冲绳战役中受损，后经修复恢复原貌。
　　日影台是研究琉球天文学史、科技传播史与宫廷时间制度的重要实物资料，反映了中国古代天文历法与科技文明对琉球的深远影响，也是首里城内独具特色的历史文化遗存。日影台的存在，证明了琉球王国在吸收中国先进科技文化方面的积极态度，也体现了琉球王国作为东亚文明圈成员的文化属性，具有重要的历史与科学价值。"
39,建筑类,首里城,瑞泉门,3,"　　瑞泉门是首里城的重要城门之一，位于龙樋泉水的北侧，因临近瑞泉（龙樋泉水）而得名，是首里城核心区域的入口之一。瑞泉门始建于15世纪前后，是一座二层门楼建筑，以琉球石灰岩砌筑的石垣为基座，上建木造门楼，屋顶铺以琉球赤瓦，屋脊饰有龙头雕与鬼瓦，建筑风格融合了中国城门建筑与琉球本土特色。
　　瑞泉门位于龙樋与册封七碑的北侧，是从泉水区域进入王宫核心区的重要通道，历代册封使在游览龙樋、观赏册封七碑后，经瑞泉门进入王宫正殿区域。瑞泉门的名称「瑞泉」意为「祥瑞之泉」，是对龙樋泉水的美称，体现了琉球王国对这一王宫水源的珍视与神化。瑞泉门在冲绳战役中被毁，后随首里城的整体复原工程得以重建。
　　瑞泉门是研究琉球城门建筑、宫廷礼仪与中琉文化交流的重要实物资料，其与龙樋、册封七碑共同构成了首里城南部最具历史文化内涵的景观区域，见证了琉球王国与中国长达五百年的宗藩关系与文化交流，具有极高的历史与建筑艺术价值。"
40,建筑类,首里城,守礼门,4,"　　守礼门是首里城最著名的城门，也是冲绳的象征之一，位于首里城的南部入口处，以悬挂「守礼之邦」匾额而闻名于世。守礼门始建于尚清王时代（1530年前后），是一座中国风格的牌楼式建筑，以朱漆涂抹的木柱支撑，屋顶铺以琉球赤瓦，屋脊饰有龙头雕，造型轻盈典雅，被誉为「琉球的凯旋门」。
　　门楣上悬挂的「守礼之邦」匾额，意为「恪守礼仪之邦」，是琉球王国以礼治国、以文化立国的政治理念的集中体现，也是琉球王国作为东亚文明圈成员的文化宣言。守礼门是琉球国王迎接中国册封使的最重要礼仪之门，册封使抵达首里时，国王在此门举行隆重的迎接仪式，然后经由此门进入王宫。守礼门在冲绳战役中被毁，1958年依据史料与照片复原重建，是战后首里城最早复原的建筑之一。
　　守礼门是琉球文化最具标志性的象征，其图像被印在冲绳的纸币、邮票与各种旅游纪念品上，是琉球王国政治理念、文化精神与建筑艺术的集中体现，具有极高的历史、文化与建筑艺术价值。"
41,建筑类,首里城,首里城老照片,6,"　　首里城老照片是19世纪末至20世纪初拍摄的首里城历史照片，是研究首里城历史建筑与变迁的珍贵视觉资料。这些老照片多由明治时期的日本摄影师、外国旅行者与军事人员拍摄，记录了首里城在冲绳战役被毁之前的原始面貌，包括正殿、守礼门、奉神门、瑞泉门、龙樋等建筑的早期形态，以及当时的宫廷生活与城市景观。
　　首里城始建于14世纪末，历经多次焚毁与重建，1879年琉球王国灭亡后，首里城被改为日军兵营与神社，部分建筑被拆除或改建，这些老照片记录了这一历史变迁过程中的首里城面貌。1945年冲绳战役中，首里城几乎完全被毁，这些老照片成为战后首里城复原重建的最重要依据之一，建筑师与历史学家依据这些照片，结合史料记载与考古发掘成果，逐步复原了首里城的主要建筑。
　　首里城老照片不仅是建筑史研究的珍贵资料，也是琉球王国历史与文化的视觉见证，记录了一个已经消失的时代的建筑风貌与社会生活，具有极高的历史与学术价值。"
42,建筑类,首里城,首里森御岳,1,"　　首里森御岳是首里城内的重要宗教祭祀场所，位于首里城的东北部，是琉球本土宗教（琉球神道）的重要圣地。「御岳」是琉球对宗教祭祀场所的称呼，类似于日本的神社，是琉球人祭祀神灵、祈求国泰民安的场所。
　　首里森御岳是琉球王国最重要的御岳之一，与园比屋武御岳、斋场御岳等并称为琉球的「七御岳」，是国家级别的祭祀场所。首里森御岳利用自然的森林与岩石营造神圣空间，不设人工的神像与建筑，以森林本身为神灵的居所，体现了琉球本土宗教自然崇拜的特征。在琉球王国时期，闻得大君（最高女性祭司）与高级祭司们在此举行重要的国家祭祀仪式，祈求国王健康、国家安泰、五谷丰登。
　　首里森御岳在冲绳战役中受损，后经修复恢复了其神圣空间的原貌。首里森御岳是研究琉球本土宗教、祭祀文化与神政合一政治制度的重要实物资料，反映了琉球在接受中国儒学与日本佛教之前的原始宗教信仰，是琉球文化多样性的重要体现，也是首里城世界遗产的重要组成部分。"
43,建筑类,首里城,万国津梁之钟,1,"　　万国津梁之钟是琉球王国时期的著名铜钟，铸造于1458年，是琉球王国作为海洋贸易国家繁荣昌盛的历史见证。「万国津梁」意为「万国的桥梁」，指琉球王国是连接中国、日本、朝鲜与东南亚各国的贸易桥梁，体现了琉球王国作为海洋贸易国家的自豪与自信。
　　铜钟上铸有铭文，记载了琉球王国的繁荣与铸造铜钟的缘由，是研究琉球王国历史与对外贸易的珍贵第一手资料。万国津梁之钟最初悬挂于首里城附近的圆觉寺，用于寺院的法事与报时，琉球王国灭亡后，铜钟被移至他处，现收藏于冲绳县立博物馆。万国津梁之钟的铸造工艺精湛，钟体装饰有精美的纹样与铭文，是琉球金工艺术的代表作。
　　铜钟上的铭文明确记载了琉球王国「以舟楫为万国之津梁」的国家定位，生动反映了15世纪琉球王国在东亚与东南亚贸易中的重要地位，是研究琉球海洋贸易史、对外关系史与金工艺术的珍贵实物资料，被誉为「琉球第一钟」，具有极高的历史与艺术价值。"
44,建筑类,首里城,西台,1,"　　西台是首里城内的重要建筑遗址，位于首里城的西部区域，是琉球王国宫廷建筑的组成部分。「台」在琉球建筑中指高出地面的平台或高台建筑，常用于瞭望、祭祀或礼仪活动，西台因位于首里城的西部而得名。
　　西台以琉球石灰岩砌筑，台基高大，台上原建有木造的楼阁或殿堂，是首里城西部区域的重要建筑。关于西台的具体功能，学术界有不同的观点，有学者认为是宫廷的瞭望台，用于观察城外的动静；有学者认为是祭祀场所，用于举行某些特定的宗教仪式；也有学者认为是王室的休憩场所，用于观赏西部的风景。西台在冲绳战役中被毁，仅存石砌的台基遗址，后经考古发掘与整理，作为历史遗址向公众展示。
　　西台遗址是研究琉球王宫建筑布局、宫廷生活与宗教仪式的重要考古资料，其台基的砌筑工艺体现了琉球石匠高超的技艺，是琉球石造建筑的重要遗存。西台的存在，丰富了我们对首里城空间布局与功能分区的认识，对于理解琉球王国的宫廷文化与建筑制度具有重要的学术价值。"
45,建筑类,首里城,系图座用物座,1,"　　系图座用物座是首里城内的重要官署建筑，位于首里城的核心区域附近，是琉球王国中央行政机构的组成部分。「系图座」是琉球王国负责管理王室族谱、贵族家系与户籍档案的官署，类似于中国的宗正寺或吏部的部分职能，负责记录与管理国王、王子、贵族与士族的家系谱系，是维护琉球封建等级制度的重要机构。
　　「用物座」是负责管理宫廷物资、仓库与出纳的官署，类似于中国的太府寺或户部的部分职能，负责宫廷的物资采购、仓储管理与分配发放。系图座与用物座合署办公，其建筑位于首里城的行政区域内，是琉球王国中央官制的重要物质体现。系图座用物座的建筑在冲绳战役中被毁，后经考古发掘，确认了其建筑基址的位置与规模，并进行了遗址展示。
　　系图座用物座遗址是研究琉球王国中央官制、行政制度与宫廷经济的重要考古资料，反映了中国官僚制度对琉球的深远影响，也是首里城作为政治中心的功能体现，对于理解琉球王国的政治制度与行政运作具有重要的学术价值。"
46,建筑类,首里城,下之御庭,1,"　　下之御庭是首里城内的重要庭院，位于正殿的南侧，是首里城核心宫殿区的重要组成部分。「御庭」是琉球对王宫庭院的称呼，下之御庭因位于正殿的南侧（下方）而得名，与正殿北侧的「上之御庭」相对应。
　　下之御庭是一个铺以红白方格地砖的开放庭院，是琉球王国举行重要宫廷仪式与庆典的场所，国王的即位大典、新年朝贺、册封使迎接仪式等最重要的国家典礼，均在下之御庭举行。庭院的红白方格地砖具有特殊的象征意义，红色代表王权与尊贵，白色代表纯洁与神圣，方格布局象征着秩序与等级。下之御庭的北侧是正殿，东侧是北殿，西侧是南殿，三面围合，形成了一个庄严的礼仪空间。
　　下之御庭在冲绳战役中被毁，后随首里城的整体复原工程得以重建，恢复了红白方格地砖的原貌。下之御庭是研究琉球宫廷礼仪、宫殿布局与政治文化的重要实物资料，是首里城作为政治与礼仪中心的核心空间，其庄严的布局与丰富的礼仪内涵，生动体现了琉球王国的政治制度与宫廷文化，具有极高的历史与文化价值。"
47,建筑类,首里城,右掖门,1,"　　右掖门是首里城正殿区域的重要侧门，位于正殿的右侧（东侧），是连接正殿区域与东部宫廷区域的重要通道。「掖门」是中国古代宫殿建筑中对正门两侧侧门的称呼，「掖」意为腋下，引申为旁边，右掖门即正殿右侧的旁门，这一建筑制度深受中国明代宫殿建筑制度的影响。
　　首里城正殿区域的布局模仿中国宫殿，正殿居中，两侧设有左掖门与右掖门，是官员与侍从进出正殿区域的日常通道，正门（奉神门）只在重要典礼时开启，日常通行多使用掖门。右掖门以琉球石灰岩砌筑的石垣为基座，上建木造门楼，屋顶铺以琉球赤瓦，建筑风格与首里城整体建筑风格保持一致，规模较正门略小，体现了等级差异。右掖门在冲绳战役中被毁，后随首里城的整体复原工程得以重建。
　　右掖门是研究琉球宫殿建筑制度、宫廷礼仪与中琉建筑文化交流的重要实物资料，其名称与形制直接来源于中国宫殿建筑制度，是琉球王国模仿中国制度建立宫廷建筑的生动例证，对于理解琉球宫殿的空间布局与礼仪功能具有重要的学术价值。"
48,建筑类,首里城,御庭与北殿南殿,1,"　　御庭与北殿南殿是首里城核心宫殿区的重要建筑群，以正殿为中心，北殿与南殿分列两侧，御庭位于正殿前方，共同构成了首里城最核心的礼仪与行政空间。御庭是铺以红白方格地砖的开放庭院，是举行国王即位、新年朝贺、册封使迎接等重要国家典礼的场所。
　　北殿位于正殿的北侧（左侧），是琉球王国处理日常政务、接待日本萨摩藩使节的场所，其建筑风格偏日本风格。南殿位于正殿的南侧（右侧），是接待中国册封使、举行儒学仪式的场所，其建筑风格偏中国风格。北殿与南殿的功能区分，反映了琉球王国在中日两大强邻之间灵活的外交策略与文化定位。
　　这一建筑群在冲绳战役中完全被毁，后经多年的考古发掘与史料研究，北殿与南殿于2010年代复原重建，御庭也恢复了红白方格地砖的原貌。御庭与北殿南殿是研究琉球宫殿布局、政治制度与对外关系的最重要实物资料，其「一殿两殿」的独特布局与功能区分，是琉球王国作为海洋贸易国家兼收并蓄、灵活务实的政治文化的生动体现，具有极高的历史与建筑艺术价值。"
49,建筑类,首里城,园比屋武御岳石门,1,"　　园比屋武御岳石门是首里城附近的重要宗教遗迹，位于首里城的西侧，是琉球世界遗产「琉球王国的城堡以及相关遗产群」的组成部分之一。园比屋武御岳是琉球王国最重要的御岳（宗教祭祀场所）之一，与首里森御岳、斋场御岳等并称为琉球的「七御岳」，是国家级别的祭祀圣地。
　　园比屋武御岳以一块巨大的天然岩石为核心，岩石前方建有一座以琉球石灰岩砌筑的拱门式石门，是进入御岳神圣空间的入口。石门的造型独特，采用了琉球特有的「拱券」砌筑技法，是琉球石造建筑的精品。在琉球王国时期，闻得大君（最高女性祭司）在此举行最重要的「御新下り」（神降）仪式，这是琉球王国最神圣的宗教仪式，象征着神灵降临、赐予国王神圣权力。
　　园比屋武御岳石门在冲绳战役中受损，后经修复恢复原貌。园比屋武御岳是研究琉球本土宗教、祭祀文化与神政合一政治制度的最重要实物资料，其独特的石门建筑与神圣的宗教内涵，是琉球原始宗教信仰的生动体现，具有极高的历史、宗教与建筑艺术价值。"
50,建筑类,首里城,正殿,2,"　　正殿是首里城的核心建筑，是琉球王国国王处理政务、举行国家典礼与日常生活的最重要宫殿，是琉球王国政治权力的中心象征。正殿始建于14世纪末，历经多次焚毁与重建，现存建筑为1992年复原的版本，2019年因火灾再次被毁，目前正在进行第二次复原，预计2026年完成。
　　正殿是一座二层木造建筑，融合了中国宫殿建筑、日本书院造与琉球本土建筑风格，屋顶铺以琉球赤瓦，屋脊饰有龙头雕与四爪龙装饰，外观以朱漆涂抹，金碧辉煌，庄严华丽。正殿一层是国王处理日常政务与举行仪式的场所，设有御差床（王座）、御椅子（国王御座）等礼仪设施；二层是国王的私人空间与供奉祖先的场所。正殿前方是下之御庭，两侧是北殿与南殿，共同构成了首里城的核心宫殿区。
　　正殿是琉球王国最高权力的象征，也是琉球建筑艺术的最高成就，其多元融合的建筑风格正是琉球王国作为海洋贸易国家兼收并蓄文化特质的集中体现，具有不可替代的历史、文化与建筑艺术价值，是冲绳最重要的历史文化象征。"
51,教育与文献典籍类,古籍与教材,六谕衍义,2,"　　《六谕衍义》是琉球王国时期最重要的儒学启蒙教材之一，由中国明末清初的学者范鋐编撰，后经琉球学者传入琉球，成为琉球王国儒学教育的核心教材。「六谕」源自明太祖朱元璋颁布的「圣谕六言」，即「孝顺父母、尊敬长上、和睦乡里、教训子孙、各安生理、毋作非为」，是中国封建社会最基本的道德教化纲领。
　　《六谕衍义》对这六条道德训令进行了详细的阐释与发挥，结合历史故事与民间谚语，深入浅出地讲解儒家伦理道德，非常适合作为启蒙教材。琉球王国在17世纪将《六谕衍义》列为国学与乡学的必修教材，由久米村的华裔学者讲授，对琉球的儒学传播与道德教化产生了深远影响。琉球学者还将《六谕衍义》译为琉球语，在民间广泛传播，使其成为琉球庶民阶层的道德读本。
　　《六谕衍义》在琉球的传播与影响，是中琉文化交流的重要篇章，反映了儒学在琉球的深入传播与本土化，是研究琉球教育史、思想史与中琉文化交流的珍贵文献资料，具有重要的历史与学术价值。"
52,教育与文献典籍类,史料典籍,德川幕府琉球往复书翰,1,"　　德川幕府琉球往复书翰是日本江户时代德川幕府与琉球王国之间往来的官方文书汇编，是研究琉日关系与东亚外交史的珍贵第一手资料，属重要文化财。琉球王国在1609年日本萨摩藩入侵后，被迫同时向中国明朝（后为清朝）与日本萨摩藩（后为德川幕府）朝贡，形成了「两属」的特殊国际地位。
　　德川幕府琉球往复书翰收录了17世纪至19世纪德川幕府与琉球王国之间往来的大量官方文书，包括幕府将军致琉球国王的书翰、琉球国王致幕府将军的书翰、以及双方关于贸易、外交、礼仪等事务的交涉文书。这些文书详细记录了琉日之间的政治关系、贸易往来、礼仪制度与文化交流，是研究琉球王国「两属」外交体制的最重要原始资料。书翰的格式与措辞反映了双方在外交礼仪上的微妙关系，对于理解琉球王国在东亚国际秩序中的特殊地位具有重要价值。
　　德川幕府琉球往复书翰现收藏于东京国立博物馆等机构，是研究日本江户时代对外关系、琉球王国史与东亚国际秩序的珍贵文献，具有极高的历史与学术价值。"
53,教育与文献典籍类,史料典籍,皇清职贡图,2,"　　《皇清职贡图》是清代乾隆年间官方编纂的大型民族与外国人物图录，是研究清代中外关系与民族文化的珍贵图像文献。乾隆十六年（1751年），乾隆帝下令编纂《皇清职贡图》，由宫廷画师丁观鹏、金廷标等绘制，记录了清朝境内各少数民族及海外朝贡国的人物形象、服饰习俗与地理物产。
　　《皇清职贡图》共九卷，其中第一卷收录了朝鲜、琉球、安南、暹罗等朝贡国的人物图像，琉球部分绘制了琉球国王、王妃、官员、士族、平民、渔民等不同阶层的人物形象，详细描绘了琉球人的服饰、发式、器物与生活习俗，是研究琉球服饰文化与社会生活的珍贵图像资料。《皇清职贡图》中的琉球人物图像，是清代宫廷画师根据琉球使节在京期间的实际观察绘制的，具有很高的真实性与准确性，弥补了琉球本土图像资料的不足。
　　《皇清职贡图》不仅是一部艺术价值极高的宫廷绘画作品，更是研究清代中外关系、朝贡制度与琉球历史文化的珍贵第一手图像资料，对于理解清代的世界观与琉球在清代朝贡体系中的地位具有重要的历史与学术价值。"
54,教育与文献典籍类,史料典籍,琉球产物志,1,"　　《琉球产物志》是琉球王国时期编纂的地方志类文献，详细记录了琉球群岛的物产资源、地理环境与经济生活，是研究琉球经济史与自然地理的珍贵文献资料。《琉球产物志》的编纂深受中国地方志传统的影响，仿照中国方志「物产篇」的体例，分门别类地记录了琉球各地的农产品、海产品、矿物、动植物、手工业品等各类物产，包括谷物、蔬菜、水果、鱼类、贝类、珊瑚、硫磺、漆器、红型、三线等琉球特有的物产与工艺品。
　　书中不仅记录了物产的名称与产地，还详细描述了其形态、用途、采集方法与制作工艺，是研究琉球传统经济与技术的珍贵资料。《琉球产物志》的编纂与琉球王国的朝贡贸易密切相关，琉球需要向中国与日本进贡各类特产，同时也将这些特产作为贸易商品销往东亚各国，《琉球产物志》为这些朝贡与贸易活动提供了详细的物产信息。
　　《琉球产物志》是研究琉球经济史、自然地理、传统工艺与朝贡贸易的重要文献，反映了琉球王国对自身资源与经济的系统认识，对于理解琉球作为海洋贸易国家的经济基础具有重要的学术价值。"
55,教育与文献典籍类,史料典籍,球阳,1,"　　《球阳》是琉球王国的官方编年体史书，是琉球最重要的历史文献之一，与《中山世谱》并称为琉球两大正史。「球阳」意为「琉球的太阳」，「球」指琉球，「阳」指太阳，寓意琉球王国如太阳般永恒。
　　《球阳》由琉球王国的摄政尚弘德（向象贤）于1650年开始编纂，后经多次续修，记载了从琉球王国传说时代至19世纪的历史，是研究琉球历史的最基本史料。《球阳》采用编年体体例，以琉球国王的世系为纲，逐年记载了琉球王国的政治、经济、军事、外交、文化、宗教等各方面的重大事件，包括国王的即位与葬礼、与中国和日本的外交关系、萨摩藩的入侵与统治、民间的叛乱与灾异、宫廷的仪式与庆典等。《球阳》的编纂深受中国正史（如《史记》《资治通鉴》）的影响，采用了中国传统的史学体例与史学观念，同时也融入了琉球本土的历史记忆与文化特色。
　　《球阳》是研究琉球历史的最权威文献，几乎所有关于琉球历史的研究都以《球阳》为基本史料，具有不可替代的历史与学术价值，是琉球文化遗产中最重要的文献之一。"
56,教育与文献典籍类,史料典籍,使琉球录,3,"　　《使琉球录》是明代嘉靖年间册封使陈侃撰写的出使琉球记录，是中国历代册封使录中最早、最重要的一部，也是研究中琉关系与琉球历史的珍贵第一手资料。嘉靖十三年（1534年），陈侃以给事中的身份被任命为册封使，前往琉球册封尚清王，归国后撰写了《使琉球录》，详细记录了出使的全过程。
　　《使琉球录》内容丰富，包括册封使的任命与准备、从福建福州出发的海上航行路线与航海技术、琉球的地理环境与港口、琉球国王的册封仪式、琉球的政治制度与社会风俗、琉球的物产与贸易、以及归途的航行情况等。书中对钓鱼岛（钓鱼屿）、黄尾屿、赤尾屿等岛屿的记载，是中国对这些岛屿拥有主权的重要历史证据。《使琉球录》开创了中国册封使撰写出使记录的传统，此后历代册封使多仿照其体例撰写使录，如萧崇业《使琉球录》、夏子阳《使琉球录》、汪楫《使琉球杂录》、徐葆光《中山传信录》、周煌《琉球国志略》等，形成了一个庞大的「使琉球录」文献系列。
　　陈侃《使琉球录》是这一系列的开山之作，具有极高的历史与学术价值，是研究中琉关系、琉球历史、航海技术与海洋主权的珍贵文献。"
57,教育与文献典籍类,史料典籍,中山传信录,2,"　　《中山传信录》是清代康熙年间册封使徐葆光撰写的出使琉球记录，是历代册封使录中内容最丰富、考证最精详的一部，也是研究琉球历史与中琉关系的集大成之作。康熙五十八年（1719年），徐葆光以翰林院编修的身份被任命为册封使，前往琉球册封尚敬王，在琉球逗留八个月，归国后撰写了《中山传信录》。
　　徐葆光在琉球期间，广泛搜集琉球的历史文献与地理资料，与琉球学者进行深入交流，对琉球的历史、地理、政治、经济、文化、风俗进行了系统的考证与记录。《中山传信录》共六卷，内容包括琉球的历史沿革、地理疆域、山川岛屿、政治制度、官职品级、礼仪风俗、服饰器物、物产贸易、语言文字、宗教信仰等，几乎涵盖了琉球社会的各个方面。书中附有详细的琉球地图与人物图，是研究琉球历史地理的珍贵图像资料。
　　《中山传信录》以其考证精详、内容丰富而被誉为「使琉球录之冠」，是研究琉球历史与中琉关系的最权威文献之一，对后世的琉球研究产生了深远影响，具有极高的历史与学术价值。"
58,艺术类,工艺,茶库竹栉,2,"　　茶库与竹栉是琉球传统的日用工艺品，分别为茶叶储存器与梳理头发的梳子，体现了琉球传统工艺的实用性与审美性。茶库是琉球传统的茶叶储存容器，多以木、竹或陶瓷制成，造型简洁实用，具有良好的密封性，用于储存琉球本地出产的茶叶。
　　琉球的茶文化受中国影响深远，饮茶是琉球贵族与士族日常生活的重要组成部分，茶库是茶道器具的重要组成部分。竹栉是以竹子为材料制作的梳子，琉球盛产竹子，竹制工艺发达，竹栉的制作需经选竹、切割、打磨、雕刻等多道工序，梳齿细密均匀，梳背光滑圆润，部分高级竹栉还雕刻有花卉、几何等装饰纹样。竹栉是琉球女性日常梳理头发的必备用具，不同等级的女性使用不同材质与装饰的梳子，贵族女性多用高级竹栉或鼈甲、金、银等材质的梳子，平民女性则多用普通竹栉。
　　茶库与竹栉虽然是日常用品，但其制作工艺体现了琉球工匠对材料特性的深刻理解与精湛技艺，是研究琉球传统生活文化与日用工艺的重要实物资料，反映了琉球人在日常生活中追求实用与审美统一的文化特质。"
59,艺术类,工艺,茶盆藤盆,2,"　　茶盆与藤盆是琉球传统的编织工艺品，分别为木制茶盘与藤编盆器，是琉球传统工艺中实用性与艺术性完美结合的代表。茶盆是琉球茶道中使用的茶盘，多以琉球特产的硬木制成，盘面平整，边缘微翘，部分高级茶盆还施以黑漆或朱漆，并镶嵌螺钿装饰，造型简洁优雅，是琉球茶道器具的重要组成部分。
　　琉球的茶文化受中国福建地区影响深远，饮茶是贵族与士族日常生活的重要内容，茶盆在茶道仪式中用于摆放茶具与承接废水，是不可或缺的器具。藤盆是以琉球群岛盛产的藤条编织而成的盆器，琉球的藤编工艺历史悠久，工匠利用藤条的柔韧性，编织出各种造型与纹样的盆器、篮子、箱子等日用品。藤盆的编织工艺精湛，纹样丰富，有几何纹、花卉纹、波浪纹等多种图案，既实用又美观，是琉球庶民家庭中常见的日用器具。
　　茶盆与藤盆分别代表了琉球木作工艺与藤编工艺的高超水平，是研究琉球传统工艺、茶文化与日常生活的重要实物资料，反映了琉球人利用本土材料创造美好生活的智慧与审美，具有重要的历史与艺术价值。"
60,艺术类,工艺,巾着,1,"　　巾着是琉球传统的布袋或荷包，是琉球人随身携带的小型袋状物，用于存放钱币、印章、香料、小物件等物品，是琉球传统服饰的重要配饰之一。巾着的名称源于其使用方式，「巾」指布帛，「着」指附着，即附着在腰带上的布袋。
　　琉球巾着的形制与日本本土的巾着既有联系又有区别，多以棉布、麻布或丝织物制成，袋口穿有细绳，拉紧绳口即可封闭袋口，使用方便。巾着的面料多饰有红型染纹样或刺绣，色彩鲜艳，纹样丰富，有花卉纹、几何纹、瑞云纹等多种图案，是琉球红型染工艺在日用配饰上的应用体现。巾着通常系在腰带（带）上，悬挂于腰间，既是实用的储物袋，也是服饰的重要装饰，不同等级与身份的人使用不同材质与装饰的巾着，贵族与士族多用高级丝织物或红型染面料制作的巾着，平民则多用棉布或麻布制作的素色巾着。
　　巾着是研究琉球传统服饰、配饰文化与红型染工艺的重要实物资料，反映了琉球人在日常生活中追求实用与审美统一的文化特质，也是琉球服饰文化多样性的生动体现，具有重要的历史与艺术价值。"
